level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	771	1114	150	19	-1	
3	1	1	1	0	0	771	1114	150	19	-1	
4	1	1	1	1	0	771	1114	150	19	-1	
5	1	1	1	1	1	771	1114	150	19	0.000000	ee
2	1	2	0	0	0	385	1391	19	18	-1	
3	1	2	1	0	0	385	1391	19	18	-1	
4	1	2	1	1	0	385	1391	19	18	-1	
5	1	2	1	1	1	385	1391	19	18	66.574722	=
2	1	3	0	0	0	551	1488	141	34	-1	
3	1	3	1	0	0	551	1488	141	34	-1	
4	1	3	1	1	0	551	1488	141	34	-1	
5	1	3	1	1	1	551	1488	141	34	49.296700	Pe
2	1	4	0	0	0	812	1523	40	45	-1	
3	1	4	1	0	0	812	1523	40	45	-1	
4	1	4	1	1	0	812	1523	40	45	-1	
5	1	4	1	1	1	812	1523	40	45	56.274853	‘|
2	1	5	0	0	0	259	1545	562	107	-1	
3	1	5	1	0	0	259	1545	562	107	-1	
4	1	5	1	1	0	259	1545	562	107	-1	
5	1	5	1	1	1	259	1598	121	44	96.800690	might
5	1	5	1	1	2	391	1545	160	97	0.000000	Basi
5	1	5	1	1	3	556	1578	81	74	0.000000	be|
5	1	5	1	1	4	642	1598	129	44	96.206581	hiding
5	1	5	1	1	5	786	1598	35	34	96.206581	in
